"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000236946.2",25.6633060869517,4.76063885769754,0.940518529633911,1.13707398733594e-07,2.07993852800052e-05,NA,NA,NA,NA,NA,NA
"ENSG00000253883.1",13.613128889053,4.74810865214099,1.02430386302569,5.97739199673901e-07,9.53058394517489e-05,NA,NA,NA,NA,NA,NA
"ENSG00000254098.1",20.9264493684689,4.72072056689748,1.03460964630437,7.58007774312604e-07,0.000117102382377744,NA,NA,NA,NA,NA,NA
"ENSG00000240040.1",20.141391883422,4.71051736383817,1.00337187007442,4.96443697135724e-07,7.95804584612836e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211642.2",109.010819528368,4.70604357917993,1.41065247263031,9.38674783925888e-06,0.00111950109430137,NA,NA,NA,NA,NA,NA
"ENSG00000253132.1",10.0410033538841,4.69712574770856,1.44177249172094,1.05435803748155e-05,0.00124255886346047,NA,NA,NA,NA,NA,NA
"ENSG00000254056.1",14.3853014010295,4.67386683222561,0.953408678142232,2.32083753635481e-07,3.90949672225734e-05,NA,NA,NA,NA,NA,NA
"ENSG00000211679.2",5092.00926305537,4.65471755370139,0.80435493927746,2.55855497995436e-09,5.95983400643118e-07,NA,NA,NA,NA,NA,NA
"ENSG00000253152.1",3.3642926241101,4.65245372205146,1.35487426858503,8.20360375597494e-06,0.000990277933555259,NA,NA,NA,NA,NA,NA
"ENSG00000110777.7",2315.41954254091,4.59370005003965,0.631076995849671,1.2841105068821e-13,7.65740777463935e-11,"POU2AF1","5450","GO:0000978",NA,"Q16633",NA
"ENSG00000211970.2",290.91977854679,4.55658723727796,1.11285444636414,2.59365964112054e-06,0.000354736494769037,NA,NA,NA,NA,NA,NA
"ENSG00000253941.1",3.41631014669845,4.53845346342591,1.41958789379999,1.19092823972865e-05,0.00138166211656613,NA,NA,NA,NA,NA,NA
"ENSG00000250036.1",5.33370526996499,4.52492716196816,1.03671876266146,1.392351368906e-06,0.000203501707918144,NA,NA,NA,NA,NA,NA
"ENSG00000224650.2",480.738136144076,4.50321531644228,0.745543210223719,5.92446139707035e-10,1.50977556423119e-07,NA,NA,NA,NA,NA,NA
"ENSG00000253247.1",4.52210640447868,4.48799891903095,1.23337245102002,6.13058156639564e-06,0.000771263375458449,NA,NA,NA,NA,NA,NA
