"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL","ENTREZID","GO","PATH","UNIPROT","ENZYME"
"ENSG00000168421.8",590.680545489605,1.86772373431229,0.513090104107827,1.2473022169328e-05,0.000474958260739537,"RHOH","399","GO:0001772","04670","Q15669",NA
"ENSG00000211725.3",4.25376330343383,1.86505607653629,0.973176070172152,0.000316145921673766,0.00558274010863034,NA,NA,NA,NA,NA,NA
"ENSG00000163600.8",173.165107580652,1.86441744518175,0.558344690632385,2.60764319522558e-05,0.000842411198564625,"ICOS","29851","GO:0002517","04514","Q53QY6",NA
"ENSG00000246582.2",53.8392726554851,1.86188496635598,0.364928164243785,6.12638155420515e-08,6.59963883560435e-06,"LOC389641","389641",NA,NA,NA,NA
"ENSG00000137804.8",204.610823624365,1.85929719888653,0.401310655628816,4.89525079616795e-07,3.53752063768965e-05,"NUSAP1","51203","GO:0000070",NA,"Q9BXS6",NA
"ENSG00000256720.1",15.6578317413241,1.85786922847436,0.832504145829214,0.000214371465130964,0.00418602177666109,NA,NA,NA,NA,NA,NA
"ENSG00000188820.8",101.670074872995,1.85692486002399,0.461836825739931,4.28257729935085e-06,0.000202447838467519,"CALHM6","441168","GO:0006811",NA,"Q5R3K3",NA
"ENSG00000251578.1",5.26518722174777,1.85609932769309,0.79877701434816,0.000186747658402397,0.00378167270802563,NA,NA,NA,NA,NA,NA
"ENSG00000243536.3",10.5932610365853,1.85604744968638,0.742212553524009,0.000139647607718999,0.00303351452509832,NA,NA,NA,NA,NA,NA
"ENSG00000243811.3",469.467975632256,1.85589298917268,0.355241455156516,3.3856652325319e-08,4.17488540886423e-06,"APOBEC3D","140564","GO:0000932",NA,"B2CML4",NA
"ENSG00000121743.3",15.5138820003033,1.85471222621477,0.643141354659572,6.91560473606279e-05,0.00177345481452768,"GJA3","2700","GO:0005887",NA,"Q9Y6H8",NA
"ENSG00000129277.9",355.452122867697,1.85450533139767,0.388895809286271,2.79823391908285e-07,2.23997852229786e-05,NA,NA,NA,NA,NA,NA
"ENSG00000251009.2",5.31486464040252,1.85386984739806,0.903216256772467,0.000276548732975483,0.00508522713689794,NA,NA,NA,NA,NA,NA
"ENSG00000226435.6",4.87725199260174,1.85186127969899,0.620303667235318,5.65859422066151e-05,0.0015366953560477,"ANKRD18DP","348840",NA,NA,NA,NA
"ENSG00000242580.1",50.5929407894657,1.8498759684446,1.07977014036046,0.000381418527734185,0.00645227442888571,NA,NA,NA,NA,NA,NA
"ENSG00000211713.3",2.20201496067248,1.84899413438296,1.27928732843946,0.000341696569264463,0.00592915160727282,NA,NA,NA,NA,NA,NA
"ENSG00000163564.10",490.905110555215,1.84767078179779,0.493855182104514,9.64126158279274e-06,0.000385974009720582,"PYHIN1","149628","GO:0002218",NA,"Q6K0P9",NA
"ENSG00000100385.9",819.173955493375,1.84533426171088,0.412639968061456,9.25395935863356e-07,5.94313961776279e-05,"IL2RB","3560","GO:0000165","04060","P14784",NA
"ENSG00000181847.7",489.037639532463,1.84527449966068,0.486100927123194,8.3049146405384e-06,0.000342457861556294,"TIGIT","201633","GO:0005102",NA,"Q495A1",NA
"ENSG00000261448.1",9.2121229815442,1.84261569892969,0.821864614443146,0.000216088917815828,0.00420538929514242,"LOC102723692","102723692",NA,NA,NA,NA
